,Timestamp,Latitude,Longitude,Diff_Lon,Diff_Lat,Distance(km),Speed(km/hr)
0,1577367934,0.5688691257365278,0.009928639257044023,,,,
1,1577367940,0.5730753692338342,0.01000205205521262,7.341279816859732e-05,0.004206243497306361,28.483537064039652,20508.14668610855
2,1577367945,0.5772676500971246,0.010075221159445388,7.316910423276791e-05,0.004192280863290376,28.388969358979626,20440.05793846533
3,1577367951,0.5818281954325857,0.010154817691235654,7.959653179026582e-05,0.00456054533546113,30.882735107550037,22235.569277436025
4,1577367957,0.5859908056985922,0.010227468945854783,7.265125461912957e-05,0.004162610266006506,28.18801388407444,20295.369996533595
5,1577367962,0.5901411986598347,0.010299906968280063,7.24380224252797e-05,0.004150392961242533,28.10526537055171,20235.79106679723
6,1577367968,0.5942758836578093,0.010372070835027534,7.216386674747076e-05,0.004134684997974536,27.998879239856446,20159.19305269664
7,1577367973,0.5983966060217679,0.010443991007839177,7.192017281164309e-05,0.004120722363958662,27.904312087333018,20091.104702879773
8,1577367979,0.6025016204224586,0.010515637024973011,7.164601713383414e-05,0.004105014400690665,27.797926208470997,20014.506870099118
9,1577367984,0.6065926721891333,0.010587039348171016,7.140232319800474e-05,0.00409105176667468,27.703359297207314,19946.418693989264
10,1577367990,0.6110380257939628,0.010664625404990689,7.758605681967325e-05,0.0044453536048295605,30.102564555140795,21673.846479701373
